Date,Day,Month,Year,Is_Trading_Day,Market_Open,Market_Close,Status
2025-03-17,Monday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-18,Tuesday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-19,Wednesday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-20,Thursday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-21,Friday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-22,Saturday,March,2025,False,CLOSED,CLOSED,HOLIDAY
2025-03-23,Sunday,March,2025,False,CLOSED,CLOSED,HOLIDAY
2025-03-24,Monday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-25,Tuesday,March,2025,False,CLOSED,CLOSED,HOLIDAY
2025-03-26,Wednesday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-27,Thursday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-28,Friday,March,2025,True,09:15:00,15:30:00,TRADING
2025-03-29,Saturday,March,2025,False,CLOSED,CLOSED,HOLIDAY
2025-03-30,Sunday,March,2025,False,CLOSED,CLOSED,HOLIDAY
2025-03-31,Monday,March,2025,True,09:15:00,15:30:00,TRADING
